build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
1996,2.0,1,270,Strombeek-Bever,4,1853.0,580000.0,vba56897,Residence,https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vba56897,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
1991,4.0,1,218,Céroux-Mousty,5,1341.0,695000.0,vbd16452,Residence,https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd16452,Excellent,1,1,Walloon Brabant,house,ready_to_move_in
1970,4.0,0,135,Limal,3,1300.0,249000.0,vbd12380,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd12380,To be renovated,0,1,Walloon Brabant,apartment,to_renovate
1959,3.0,1,176,Strombeek-Bever,3,1853.0,499000.0,vbd39990,Residence,https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vbd39990,Normal,0,1,Flemish Brabant,house,ready_to_move_in
2007,4.0,1,200,Céroux-Mousty,4,1341.0,650000.0,vbd24791,Residence,https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd24791,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
,2.0,0,92,Limal,2,1300.0,235000.0,vbd13888,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd13888,To renovate,0,1,Walloon Brabant,apartment,to_renovate
1971,2.0,1,150,Strombeek-Bever,4,1853.0,399000.0,vbd51485,Residence,https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vbd51485,Normal,0,1,Flemish Brabant,house,ready_to_move_in
1989,4.0,1,120,Céroux-Mousty,3,1341.0,395000.0,vbd48807,Residence,https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbd48807,Normal,0,1,Walloon Brabant,house,ready_to_move_in
2001,2.0,1,82,Limal,2,1300.0,345000.0,vbd46699,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbd46699,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
1984,4.0,1,185,Meise,4,1860.0,697000.0,rbu57199,Residence,https://immovlan.be/en/detail/residence/for-sale/1860/meise/rbu57199,Normal,0,1,Flemish Brabant,house,ready_to_move_in
